"position","abbr","must","none"
1,"SLW",,
2,"I",,"SQW"
2,"R","SQW;RCB5S",
2,"R","SQW;RCB5D",
2,"R","SQW;RCN5D",
3,"RB","I",
3,"SQP","I",
3,"FP2A","I",
3,"SNSR","R",
3,"MH","R","25T;STGI;STS4;STS6"
4,"PCB5S",,"FP2A;MH"
4,"PCB5D",,"MH"
4,"PCN5D",,"MH"
4,"PCB37S","MH",
5,"SQW","R",
6,"RCB5S","R;SQW","PCB5D;PCN5D"
6,"RCB5D","R;SQW","PCB5S;PCN5D;PCB37S"
6,"RCN5D","R;SQW","PCB5D;PCB5S;PCB37S"
7,130,,
7,330,,"RB;FP2A"
7,230,,"RB;FP2A"
7,530,,
7,730,,"RB;FP2A"
7,830,,"RB;FP2A"
7,930,,"RB;FP2A"
7,"8P1",,"RB;FP2A"
7,"9P1",,"RB;FP2A"
7,"9P2",,"RB;FP2A"
7,"9P3",,"RB;FP2A"
8,"AU1",,"RB;FP2A"
8,"DC",,"RB;FP2A"
8,"U",,"SQP;SNSR;MH"
9,"Ref",,"MB10MS;MB10S4;MB10S6;MN10MS;MN10S4;MN10S6;230;530;730"
10,"MB5MS",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MB5S4",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MB5S6",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MN5MS",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MN5S4",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MN5S6",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MB75MS",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MB75S4",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MB75S6",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MN75MS",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MN75S4",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MN75S6",,"I;Ref;230;530;730;830;930;8P1;9P1;9P2;9P3"
10,"MB10MS",,"830;930;8P1;9P1;9P2;9P3"
10,"MB10S4",,"830;930;8P1;9P1;9P2;9P3"
10,"MB10S6",,"830;930;8P1;9P1;9P2;9P3"
10,"MN10MS",,"830;930;8P1;9P1;9P2;9P3"
10,"MN10S4",,"830;930;8P1;9P1;9P2;9P3"
10,"MN10S6",,"830;930;8P1;9P1;9P2;9P3"
10,"MB15MS",,
10,"MB15S4",,
10,"MB15S6",,
10,"MN15MS",,
10,"MN15S4",,
10,"MN15S6",,
10,"F15MS",,
10,"F15S4",,
10,"F15S6",,
10,"FA15MS",,
10,"FA15S4",,
10,"FA15S6",,
10,"F20MS",,
10,"F20S4",,
10,"F20S6",,
10,"FA20MS",,
10,"FA20S4",,
10,"FA20S6",,
10,"F25MS",,
10,"F25S4",,
10,"F25S6",,
10,"FA25MS",,
10,"FA25S4",,
10,"FA25S6",,
10,"F30MS",,
10,"F30S4",,
10,"F30S6",,
10,"FA30MS",,
10,"FA30S4",,
10,"FA30S6",,
11,"RDP",,
11,"ROP",,
12,"SS4",,
12,"SS6",,
13,"P",,
13,"PPVC",,"ROP"
14,"6T","PPVC",
14,"10T",,"PPVC"
14,"25T","STGI","PPVC"
14,"25T","STS4","PPVC"
14,"25T","STS6","PPVC"
15,"STGI","25T",
15,"STS4","25T",
15,"STS6","25T",
16,"0.65H25H","RDP",
16,"10H50H","ROP",
